Nome,Modalidade,Nivel,Agência
ADALBERTO JOSE DOS SANTOS,PQ,1D,CNPq
ADALIENE VERSIANI MATOS FERREIRA,PQ,1C,CNPq
ADRIANA ARAUJO PEREIRA BORGES,PQ,C,CNPq
ADRIANA CRISTINA DE OLIVEIRA IQUIAPAZA,PQ,1B,CNPq
ADRIANA DE MIRANDA RIBEIRO,PQ,C,CNPq
ADRIANA SILVA FRANCA,PQ,1C,CNPq
ADRIANA SILVINA PAGANO,PQ,1C,CNPq
ADRIANE MESQUITA DE MEDEIROS,PQ,2,CNPq
ADRIANO ALONSO VELOSO,PQ,2,CNPq
ADRIANO BORGES DA CUNHA,DT,C,CNPq
ADRIANO DE PAULA SABINO,PQ,2,CNPq
ADRIANO MAX MOREIRA REIS,PQ,C,CNPq
ADRIANO PEREIRA PAGLIA,PQ,1C,CNPq
ALBERTO RESENDE DE CONTI,PQ,1D,CNPq
ALCINEI MISTICO AZEVEDO,PQ,C,CNPq
ALDRI LUIZ DOS SANTOS,PQ,2,CNPq
ALEXANDRE DE OLIVEIRA CHAVES,PQ,2,CNPq
ALEXANDRE DE PADUA CARRIERI,PQ,1A,CNPq
ALEXANDRE GUSTAVO MELO FRANCO BAHIA,PQ,2,CNPq
ALEXANDRE MENDES ABRAO,PQ,1A,CNPq
