CO_CNES;CO_UNIDADE;CO_UF;CO_IBGE;NU_CNPJ_MANTENEDORA;NO_RAZAO_SOCIAL;NO_FANTASIA;CO_NATUREZA_ORGANIZACAO;DS_NATUREZA_ORGANIZACAO;TP_GESTAO;CO_NIVEL_HIERARQUIA;DS_NIVEL_HIERARQUIA;CO_ESFERA_ADMINISTRATIVA;DS_ESFERA_ADMINISTRATIVA;CO_ATIVIDADE;TP_UNIDADE;CO_CEP;NO_LOGRADOURO;NU_ENDERECO;NO_BAIRRO;NU_TELEFONE;NU_LATITUDE;NU_LONGITUDE;CO_TURNO_ATENDIMENTO;DS_TURNO_ATENDIMENTO;NU_CNPJ;NO_EMAIL;CO_NATUREZA_JUR;ST_CENTRO_CIRURGICO;ST_CENTRO_OBSTETRICO;ST_CENTRO_NEONATAL;ST_ATEND_HOSPITALAR;ST_SERVICO_APOIO;ST_ATEND_AMBULATORIAL;CO_MOTIVO_DESAB;CO_AMBULATORIAL_SUS
9991123;3552509991123;35;355250;;MARCELA ATINA FOURMOUZIS ESTEVES;MF LIFE MARCELA ATINA FOURMOUZIS ESTEVES;;;M;;;M ;MUNICIPAL;4;22;8674011;RUA BENJAMIN CONSTANT;1439;CENTRO;1128913129;-23.5463827253;-46.3140249252;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
7688970;1200457688970;12;120045;4077251000125.0;MUNICIPIO DE SENADOR GUIOMARD;POSTO ODONTOLOGICO MARGARIDA NOGUEIRA BANDEIRA FREIRE;;;M;;;M ;MUNICIPAL;4;22;69925000;TRIUNFO;S/N;TRIUNFO;6832322652;;;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;saude.secretaria@bol.com.br;1244.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;NAO
4374541;3550304374541;35;355030;;RAIA DROGASIL S A;RAIA 1104 SP ANALIA FRANCO E;;;M;;;M ;MUNICIPAL;4;43;3355000;RUA ACURUI;352;VILA FORMOSA;(11) 3769-5736;-23.5590808;-46.5558497;4.0;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;61585865231714.0;mabvalerio.wale@rdsaude.com.br;2046.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
5869684;3550305869684;35;355030;;CLINICA CIRURGICA DR MAURO SAKIYAMA SS;CLINICA CIRURGICA DR MAURO SAKIYAMA;;;M;;;M ;MUNICIPAL;4;22;3081003;RUA TUIUTI;2530;TATUAPE;11 99469-0893;-23.547688;-46.574202;5.0;ATENDIMENTO COM TURNOS INTERMITENTES;3728908000104.0;clinica.sakiyama@gmail.com;2232.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3869695;2915803869695;29;291580;13743760000130.0;MUNICIPIO DE ITAMBE;CENTRO MUNICIPAL DE FISIOTERAPIA DR ALTERIVES MACIEL;;;D;;;D ;DUPLA;4;36;45140081;RUA JOAO RIBEIRO;S/N;CENTRO;(77)4321682;-15.243727;-40.621287;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;saude.itambe@hotmail.com;1244.0;0.0;0.0;0.0;0.0;0.0;0.0;;SIM
4188144;4119954188144;41;411995;;CLINICA ODONTOLOGICA DRA ALICE HELENA LTDA;CLINICA ODONTOLOGICA DRA ALICE HELENA LTDA;;;M;;;M ;MUNICIPAL;4;22;83255000;PR 412;1634;CANOAS;41995465107;-25.7732464327;-48.5165346602;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;48928772000114.0;draalicehelena@gmail.com;2062.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
52191;2208000052191;22;220800;;C A RIBEIRO LTDA;U S DIAGNOSTICO;;;M;;;M ;MUNICIPAL;4;36;64600146;NOSSA SENHORA DE FATIMA;514;CANTO DA VARZEA;89 81042525;-7.0841985817;-41.4714467525;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;34549326000275.0;;2062.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
5818923;3530605818923;35;353060;;B2MJ SERVICOS MEDICOS LTDA;B2MJ SERVICOS MEDICOS LTDA;;;M;;;M ;MUNICIPAL;4;4;8780000;VEREADOR NARCISO YAGUE GUIMARAES;1145;CENTRO CIVICO;11 47398873;-23.518466;-46.182092;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22235835000163.0;AGENDAMENTODELGROSSIETORRES@GMAIL.COM;2062.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
9322213;4321809322213;43;432180;;ORAL CEF E ORAL CLEAN CLINICA ODONTOLOGICA LTDA;ORALCEF DIGITAL;;;M;;;M ;MUNICIPAL;4;22;98910000;BURICA;270;ORIENTAL;55 35351244;-27.674293;-54.1121504;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;12947620000383.0;;2062.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
9581219;3554109581219;35;355410;;M A MONTANHA RUGGERI LABORATORIO;PERSONAL LAB;;;M;;;M ;MUNICIPAL;4;39;12030440;RUA GRECIA;180;JARDIM DAS NACOES;12 3624-1570;-23.0290903381;-45.5725829868;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;17271469000249.0;sac@labpersonal.com.br;2135.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
7603398;2408007603398;24;240800;;FLAVIO ANTONIO LIMEIRA ME;CLINICA DE ULTRASSONOGRAFIA DR FLAVIO LIMEIRA;;;M;;;M ;MUNICIPAL;4;36;59611010;RUA PEDRO VELHO;320;SANTO ANTONIO;84 9 8706-1916;-5.1726266568;-37.3381304741;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;11264279000137.0;;2062.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
9018832;3550309018832;35;355030;;MARIANA PEREZ MARTINEZ;CONS ODONTO MARIANA PEREZ MARTINEZ;;;M;;;M ;MUNICIPAL;4;22;3316000;RUA TIJUCO PRETO;285;TATUAPE;112296-0008;;;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;mari.perez.martinez@hotmail.com;4000.0;0.0;0.0;0.0;0.0;1.0;0.0;8.0;NAO
8352003;4322508352003;43;432250;;LFDMCN SERVICOS DE ANESTESIOLOGIA LTDA;LFDMCN SERVICOS DE ANESTESIOLOGIA LTDA;;;M;;;M ;MUNICIPAL;4;22;95208000;AV PRES JUSCELINO K DE OLIVEIRA;7969;GERTRUDES;11-985650092;-28.5117;-50.93182;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;65813419000108.0;luis.fellipe.nunes@icloud.com;2062.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
3048071;5300103048071;53;530010;;ODONTOSERV SERVICOS ODONTOLOGICOS LTDA;ODONTOSERV;;;E;;;E ;ESTADUAL;4;22;70100000;C1 LOTES 112 SALA 206;;TAGUATINGA CENTRO;(61)5612231;;;4.0;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;5413529000150.0;mfl68@bsbtecnologia.com.br;2000.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;NAO
3871630;3303503871630;33;330350;;MARCIA DANTAS DA SILVA LIMA;MARCIA DANTAS DA SILVA LIMA;;;M;;;M ;MUNICIPAL;4;22;26220300;RUA GOVERNADOR PORTELA;1200;CENTRO;21-2767-0039;-22.7600486376;-43.4465872473;1.0;ATENDIMENTO SOMENTE PELA MANHA;;mdantaslima@uol.com.br;4000.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
9073175;1302609073175;13;130260;;INSTITUTO NEUROLOGICO DO AMAZONAS S S LTDA;INAM INSTITUTO NEUROLOGICO DO AMAZONAS;;;M;;;M ;MUNICIPAL;4;22;69053130;ACRE CJ VIEIRALVES;12;NOSSA SENHORA DAS GR;92 84116124;-3.1057634536;-60.0177741051;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;4911233000105.0;wam.ferreira@gmail.com;2240.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
