CO_CNES;CO_UNIDADE;CO_UF;CO_IBGE;NU_CNPJ_MANTENEDORA;NO_RAZAO_SOCIAL;NO_FANTASIA;CO_NATUREZA_ORGANIZACAO;DS_NATUREZA_ORGANIZACAO;TP_GESTAO;CO_NIVEL_HIERARQUIA;DS_NIVEL_HIERARQUIA;CO_ESFERA_ADMINISTRATIVA;DS_ESFERA_ADMINISTRATIVA;CO_ATIVIDADE;TP_UNIDADE;CO_CEP;NO_LOGRADOURO;NU_ENDERECO;NO_BAIRRO;NU_TELEFONE;NU_LATITUDE;NU_LONGITUDE;CO_TURNO_ATENDIMENTO;DS_TURNO_ATENDIMENTO;NU_CNPJ;NO_EMAIL;CO_NATUREZA_JUR;ST_CENTRO_CIRURGICO;ST_CENTRO_OBSTETRICO;ST_CENTRO_NEONATAL;ST_ATEND_HOSPITALAR;ST_SERVICO_APOIO;ST_ATEND_AMBULATORIAL;CO_MOTIVO_DESAB;CO_AMBULATORIAL_SUS
27;2602900000027;26;260290;10930451000181.0;CASA DE SAUDE E MATERNIDADE SANTA HELENA LTDA;CASA DE SAUDE SANTA HELENA;;;M;;;M ;MUNICIPAL;4;5;54505560;AVN PRESIDENTE GETULIO VARGAS;428;CENTRO;(81)35210355;-8.2801925142;-35.0314371459;6.0;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);10930451001153.0;;2062.0;1.0;1.0;1.0;1.0;1.0;1.0;;SIM
4374541;3550304374541;35;355030;;RAIA DROGASIL S A;RAIA 1104 SP ANALIA FRANCO E;;;M;;;M ;MUNICIPAL;4;43;3355000;RUA ACURUI;352;VILA FORMOSA;(11) 3769-5736;-23.5590808;-46.5558497;4.0;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;61585865231714.0;mabvalerio.wale@rdsaude.com.br;2046.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
43;2602900000043;26;260290;11294402000162.0;PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO;POLICLINICA DR MANUEL GOMES;;;M;;;M ;MUNICIPAL;4;4;54510360;AV HISTORIADOR PEREIRA COSTA;S/N;CENTRO;(81)35216723;-8.28765;-35.035;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
3869695;2915803869695;29;291580;13743760000130.0;MUNICIPIO DE ITAMBE;CENTRO MUNICIPAL DE FISIOTERAPIA DR ALTERIVES MACIEL;;;D;;;D ;DUPLA;4;36;45140081;RUA JOAO RIBEIRO;S/N;CENTRO;(77)4321682;-15.243727;-40.621287;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;saude.itambe@hotmail.com;1244.0;0.0;0.0;0.0;0.0;0.0;0.0;;SIM
51;2602900000051;26;260290;11294402000162.0;PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO;POLICLINICA VICENTE MENDES;;;M;;;M ;MUNICIPAL;4;4;54520250;RUA QUARENTA E HUM;S/N;COHAB;(81)35216727;-8.2953373499;-35.0322723132;4.0;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;;;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
7688970;1200457688970;12;120045;4077251000125.0;MUNICIPIO DE SENADOR GUIOMARD;POSTO ODONTOLOGICO MARGARIDA NOGUEIRA BANDEIRA FREIRE;;;M;;;M ;MUNICIPAL;4;22;69925000;TRIUNFO;S/N;TRIUNFO;6832322652;;;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;saude.secretaria@bol.com.br;1244.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;NAO
35;2602900000035;26;260290;11294402000162.0;PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO;HOSPITAL MENDO SAMPAIO;;;M;;;M ;MUNICIPAL;4;5;54535430;BR 101 SUL KM 33;S/N;CHARNECA;(81)35210857;-8.29221434;-35.0481980206;6.0;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);11294402000243.0;;1244.0;1.0;1.0;1.0;1.0;1.0;1.0;;SIM
19;2602900000019;26;260290;11294402000162.0;PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO;POLICLINICA DR JAMACI DE MEDEIROS;;;M;;;M ;MUNICIPAL;4;4;54580530;RUA 21 DE ABRIL;S/N;PONTE DOS CARVALHOS;(81)35221848;-8.23166;-34.9695991;6.0;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);;;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
5869684;3550305869684;35;355030;;CLINICA CIRURGICA DR MAURO SAKIYAMA SS;CLINICA CIRURGICA DR MAURO SAKIYAMA;;;M;;;M ;MUNICIPAL;4;22;3081003;RUA TUIUTI;2530;TATUAPE;11 99469-0893;-23.547688;-46.574202;5.0;ATENDIMENTO COM TURNOS INTERMITENTES;3728908000104.0;clinica.sakiyama@gmail.com;2232.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
9991123;3552509991123;35;355250;;MARCELA ATINA FOURMOUZIS ESTEVES;MF LIFE MARCELA ATINA FOURMOUZIS ESTEVES;;;M;;;M ;MUNICIPAL;4;22;8674011;RUA BENJAMIN CONSTANT;1439;CENTRO;1128913129;-23.5463827253;-46.3140249252;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
